product_id,n_obs,mae,rmse,mape,avg_sales,mae_pct
SE-SYE553-1932,223,9739.27,14127.58,75.9,45800.01,21.26
SE-SYE555-8459,223,1586.36,2383.07,70.39,14551.71,10.9
SE-SYE558-0470,222,4274.85,8142.55,17.13,73572.0,5.81
SE-SYE558-1386,223,26440.07,37527.41,122.26,101342.8,26.09
SE-SYE558-1543,222,3336.99,4693.13,62.72,24473.0,13.64
SE-SYE558-1884,223,3299.16,4770.74,48.8,20575.05,16.03
SE-SYE558-1885,198,419.91,589.77,225.01,12745.46,3.29
SE-SYE558-1943,223,1206.37,1828.0,33.35,14908.53,8.09
SE-SYE558-4048,222,4309.71,6927.24,21.36,16019.02,26.9
SE-SYE558-4049,222,73132.58,83174.55,116.05,205281.07,35.63
SE-SYE558-4405,222,6689.26,8692.72,52.08,17193.36,38.91
SE-SYE558-4406,222,2785.07,4639.71,70.29,12674.82,21.97
SE-SYE558-4407,223,40925.29,54978.56,59.07,112507.23,36.38
SE-SYE558-6392,223,48000.26,86778.39,110.15,225899.78,21.25
SE-SYE558-8688,223,8498.21,12592.14,71.03,41855.88,20.3
SE-SYE558-9811,222,2811.97,6035.81,127.96,35709.88,7.87
SE-SYE559-1801,222,10671.56,16601.71,170.09,53920.89,19.79
SE-SYE559-1803,221,9318.14,13442.77,60.95,85341.78,10.92
SE-SYE559-1905,223,12167.08,24910.55,60.75,86261.25,14.1
SE-SYE599-0018,219,1118.57,1332.09,9.73,20266.03,5.52
SE-SYE599-0024,223,5511.97,8332.47,33.7,52761.17,10.45
SE-SYE599-1084,223,4902.55,5923.69,42.46,16418.89,29.86
SE-SYE599-1085,223,5990.53,11998.54,24.68,87846.59,6.82
SE-SYE599-1086,223,3032.36,4239.37,43.6,12588.63,24.09
SE-SYE599-1087,223,4612.28,4851.55,136.55,14109.79,32.69
SE-SYE599-1088,223,1837.93,2140.72,12.23,15222.62,12.07
SE-SYE599-1089,215,30744.77,37826.5,255.24,65032.29,47.28
SE-SYE599-10940,171,3280.24,3853.51,16.81,31658.07,10.36
SE-SYE599-1131,208,4833.64,7188.24,180.52,23264.39,20.78
SE-SYE599-1132,216,2676.9,3767.13,97.1,21865.93,12.24
SE-SYE599-13046,56,12090.82,18350.1,28.66,40870.95,29.58
SE-SYE599-2023,223,183890.88,252035.03,175.3,622696.36,29.53
SE-SYE599-2947,193,1005.71,1073.67,555.83,27349.59,3.68
SE-SYE599-2962,222,8666.81,11785.76,31.15,33883.03,25.58
SE-SYE599-5231,223,4576.21,7227.95,17.71,37564.46,12.18
SE-SYE599-6765,95,17613.51,20064.67,370.72,42972.42,40.99
SE-TE650-8463,223,19057.52,34781.48,81.72,99919.55,19.07
SE-TE651-10923,182,16924.78,19647.21,214.93,60244.18,28.09
SE-TE652-8465,223,3043.22,4241.46,26.56,16313.09,18.66
SE-TE653-8464,222,6734.44,11499.29,103.35,52029.99,12.94
SE-TQO702-1111,167,3154.39,3325.54,3422.58,49377.14,6.39
SE-TQO702-1113,173,256.43,457.34,187.43,110340.41,0.23
SE-TQO702-12625,85,30493.7,32007.22,187.05,81264.5,37.52
SE-TQO702-12626,84,42218.57,54118.51,121.94,174170.58,24.24
SE-TYE750-10386,216,2473.8,3165.2,76.7,20765.86,11.91
SE-TYE750-9965,211,3000.58,3476.06,136.05,18554.73,16.17
SE-TYE754-1097,223,4573.14,7196.94,47.95,34989.07,13.07
SE-TYE754-1098,222,4875.78,6935.36,191.16,19624.04,24.85
SE-TYE754-1099,222,22645.25,27758.02,291.0,75015.67,30.19
