product_id,n_obs,mae,rmse,mape,avg_sales,mae_pct
SE-BEB158-5776,223,2278.09,2682.81,165.27,16966.78,13.43
SE-BEB158-7899,223,4535.01,5512.26,45.34,30273.7,14.98
SE-BEB158-8059,223,2865.65,3134.67,44.66,14872.71,19.27
SE-BEB158-8505,223,3393.23,3915.5,84.82,11699.96,29.0
SE-BEB159-11722,120,2401.58,3025.69,98.2,8300.49,28.93
SE-BEB159-11723,120,2065.94,2548.71,44.92,10508.13,19.66
SE-BEB159-11724,120,2665.2,3369.81,177.09,11262.54,23.66
SE-BEB159-11725,120,3112.34,3439.83,24.93,12260.27,25.39
SE-BEB159-11726,120,2574.61,3853.6,51.3,11221.68,22.94
SE-BEB159-11727,120,3547.17,4410.95,51.35,8852.98,40.07
SE-BEB159-12595,78,3886.76,5497.2,44.39,23223.37,16.74
SE-BEB159-12596,78,4905.61,7195.56,66.93,22868.83,21.45
SE-BEB159-12598,78,6815.84,11230.96,94.65,33568.25,20.3
SE-BEB159-12599,78,4569.33,6320.97,65.56,19373.17,23.59
SE-BEB159-12600,78,1580.48,2251.29,64.99,11088.08,14.25
SE-BEB159-12601,78,6222.0,10702.8,63.52,35900.61,17.33
SE-BEB159-12824,70,6820.07,8540.71,36.85,24819.88,27.48
SE-BEB159-12825,70,1261.83,1761.5,17.32,13509.67,9.34
SE-BEB159-12826,70,8253.31,9672.43,86.67,28174.63,29.29
SE-BEB159-13475,43,6303.35,7363.87,121.52,20915.4,30.14
SE-BEB160-4910,223,920.06,1240.46,26.06,6335.79,14.52
SE-BEB199-8467,223,4836.43,7115.76,44.88,24717.58,19.57
SE-DEL250-9584,223,3858.66,4480.56,66.34,7400.32,52.14
SE-DGB302-11832,111,2758.24,3390.38,2382.62,10409.92,26.5
SE-DGB302-12673,71,84708.47,112104.68,206.79,75630.24,112.0
SE-DGB302-12674,75,30814.49,36953.37,56.23,74188.35,41.54
SE-DGB302-12675,72,55775.03,65289.51,63.96,78327.8,71.21
SE-DGB302-12676,74,35830.9,41206.12,39.22,66337.4,54.01
SE-DGB302-12678,75,3280.38,4471.93,67.33,13961.95,23.5
SE-DGB302-12687,73,60727.04,73239.16,60.18,69810.98,86.99
SE-DGB303-0485,223,7894.43,10177.42,67.41,31486.89,25.07
SE-DGB303-11344,143,2453.87,3321.65,35.85,13293.81,18.46
SE-DGB303-11346,143,4053.13,4425.66,380.82,12317.62,32.91
SE-DGB303-11347,143,2443.42,3579.62,39.72,13345.85,18.31
SE-DGB303-12396,96,3091.75,3918.22,257.21,20599.01,15.01
SE-DGB303-2128,222,7494.47,13205.98,32.55,97625.12,7.68
SE-DGB303-2862,143,2518.67,3357.03,44.63,11624.48,21.67
SE-DGB303-3104,143,3220.31,4512.02,33.72,13263.57,24.28
SE-DGB303-3454,223,7930.17,11536.33,74.44,30525.43,25.98
SE-DGB303-3456,223,1644.72,2357.2,38.98,15985.15,10.29
SE-DGB303-3658,142,2268.28,2697.45,1275.55,13661.89,16.6
SE-DGB303-4007,223,4248.79,5300.9,58.3,27599.58,15.39
SE-DGB303-4008,223,3835.92,4641.74,33.96,37415.48,10.25
SE-DGB303-4134,156,7568.01,7672.51,5067.81,32592.09,23.22
SE-DGB303-4135,151,301.67,583.06,908.09,8804.74,3.43
SE-DGB303-4719,223,1537.2,2526.38,41.92,22656.03,6.78
SE-DGB303-4720,223,2023.84,3047.2,75.79,18399.63,11.0
SE-DGB303-4721,200,648.59,695.61,497.81,13968.87,4.64
SE-DGB303-4780,223,6048.98,10506.19,43.23,59126.14,10.23
SE-DGB303-8494,223,3075.25,3636.83,27.67,36415.75,8.44
SE-DGB304-0473,222,4179.86,6272.13,135.42,62960.49,6.64
SE-DGB304-12727,74,13073.83,14029.23,852.74,25087.59,52.11
SE-DGB304-2126,223,8466.44,14158.13,47.97,77598.03,10.91
SE-DGB304-2127,223,2518.14,3632.99,33.77,18008.39,13.98
SE-DGB304-9777,214,13715.09,20816.4,43.03,105088.12,13.05
SE-DGB309-10268,202,1688.3,1767.09,449.15,12004.53,14.06
SE-DGB309-10272,194,1708.43,2304.57,217.32,20987.68,8.14
SE-DGB309-10273,198,1076.23,1396.91,40.31,21617.09,4.98
SE-DGB309-10274,203,558.36,771.01,117.69,15479.74,3.61
SE-DGB309-10275,202,721.35,916.56,73.91,12948.52,5.57
SE-DGB309-10277,207,749.21,793.39,54.28,9689.98,7.73
SE-DGB309-10278,201,638.03,798.52,439.22,12065.29,5.29
